#{"t_start": 1765984810.0664325, "env_id": "None"}
r,l,t
282.024623,199,236.829676
261.471859,199,237.201154
270.014573,199,237.562661
274.034673,199,237.904644
282.024623,199,238.268673
272.527136,199,238.643583
266.496985,199,239.020067
271.522111,199,239.373934
255.49196,199,239.712543
273.029648,199,247.767844
263.984422,199,248.166718
268.507035,199,248.519858
246.999497,199,248.860982
248.507035,199,249.218327
270.517085,199,249.563668
273.532161,199,249.89993
278.507035,199,250.307561
281.019598,199,250.663539
279.009548,199,251.034654
273.532161,199,258.088134
253.532161,199,258.456383
268.507035,199,258.808838
272.527136,199,259.216156
258.959296,199,259.602546
283.532161,199,259.990632
256.496985,199,260.404603
257.50201,199,260.788447
269.009548,199,261.167124
271.019598,199,261.516993
263.934171,199,261.88746
267.954271,199,269.290384
269.009548,199,269.784022
260.466834,199,270.170403
253.48191,199,270.586982
265.994472,199,271.025033
268.507035,199,271.466385
275.542211,199,271.969756
247.50201,199,272.513355
273.48191,199,272.92784
280.014573,199,273.311716
270.969347,199,280.459797
284.537186,199,280.815856
271.974372,199,281.325644
277.50201,199,281.701935
270.517085,199,282.082338
284.537186,199,282.451534
266.999497,199,282.803888
276.044724,199,283.182202
275.49196,199,283.539692
278.557286,199,283.906658
268.054774,199,291.148747
284.537186,199,291.519722
277.552261,199,291.86813
282.024623,199,292.239424
278.004523,199,292.598468
263.532161,199,292.948955
264.989447,199,293.317455
286.547236,199,293.731692
285.542211,199,294.127072
251.974372,199,294.499795
276.044724,199,294.861856
264.537186,199,302.186454
262.527136,199,302.539172
283.532161,199,302.900975
273.029648,199,303.277433
266.044724,199,303.633034
284.537186,199,304.004602
287.049749,199,304.390233
264.034673,199,304.736223
268.054774,199,305.147642
275.039698,199,305.528751
281.522111,199,312.734932
285.039698,199,313.113544
272.527136,199,313.52002
283.532161,199,313.906648
272.527136,199,314.300469
287.552261,199,314.652059
274.034673,199,315.036923
269.009548,199,315.489868
282.024623,199,315.848366
278.507035,199,316.210026
266.496985,199,323.121299
257.954271,199,323.501112
258.507035,199,323.895604
263.984422,199,324.393014
260.014573,199,324.759684
253.029648,199,325.174642
253.532161,199,325.569339
272.024623,199,325.959274
255.994472,199,326.331655
272.024623,199,326.673522
279.009548,199,327.038343
277.50201,199,334.246379
268.959296,199,334.612037
263.532161,199,334.964044
271.974372,199,335.386683
277.50201,199,335.796358
277.50201,199,336.242236
262.024623,199,336.62125
253.934171,199,337.160369
274.537186,199,337.581017
252.979397,199,337.998262
269.964322,199,345.334165
268.507035,199,345.689432
255.542211,199,346.041267
243.48191,199,346.404152
263.532161,199,346.784463
234.989447,199,347.211627
249.964322,199,347.716514
267.049749,199,348.133345
274.537186,199,348.488138
267.50201,199,348.827651
270.969347,199,357.18185
253.029648,199,357.802253
250.868844,199,358.33594
256.999497,199,358.815783
252.426633,199,359.300978
282.024623,199,359.705563
265.441709,199,360.126839
272.024623,199,360.534078
284.537186,199,360.946031
281.522111,199,361.380712
262.929146,199,369.104021
280.517085,199,369.610078
269.51206,199,370.025614
273.532161,199,370.555385
281.019598,199,371.004184
275.039698,199,371.410135
271.522111,199,371.847282
256.547236,199,372.270573
280.014573,199,372.644813
265.49196,199,373.063841
270.517085,199,373.467064
282.527136,199,380.810679
280.517085,199,381.211539
266.999497,199,381.567016
280.014573,199,382.031509
276.999497,199,382.461257
281.522111,199,382.841864
